rank	action_id	source	family	relation	priority	trigger	history
95	community/ggml-org/llama.cpp/llama.cpp::maintainers	llama.cpp	project	maintainers	7.084	coverage_gap	new
96	company/Neural Magic/Neural Magic::projects	Neural Magic	company	projects	7.071	bridge	new
97	community/vllm-project/AIBrix/Jianliang Qi::affiliation	Jianliang Qi	person	affiliation	7.058	coverage_gap	new
98	company/深度求索/黄可钊 Kezhao Huang::project_contribution	黄可钊	person	project_contribution	7.051	bridge	new
99	community/openEuler/openYuanRong/YuanRong DataSystem::maintainers	YuanRong DataSystem	project	maintainers	7.04	coverage_gap	new
100	company/清程极智/郑纬民 Weimin Zheng::project_contribution	郑纬民	person	project_contribution	7.02	bridge	new
101	community/sgl-project/SGLang/谢志强 Zhiqiang Xie::project_contribution	谢志强	person	project_contribution	7.009	bridge	new
102	university/鹏城实验室/鹏城实验室::projects	鹏城实验室	research	projects	7.009	coverage_gap	new
103	community/deepseek-ai/DeepSeek-Infra/Chenhao Xu::affiliation	Chenhao Xu	person	affiliation	6.992	coverage_gap	new
104	community/vllm-project/vLLM/Lucas Wilkinson::project_contribution	Lucas Wilkinson	person	project_contribution	6.988	bridge	new
105	community/llm-d/llm-d/Marcio A L Silva::affiliation	Marcio A L Silva	person	affiliation	6.98	coverage_gap	new
106	community/deepseek-ai/DeepSeek-Infra/LyricZhao::affiliation	LyricZhao	person	affiliation	6.97	coverage_gap	new
107	university/清华大学/Qihao Zhang::project_contribution	Qihao Zhang	person	project_contribution	6.97	bridge	new
108	community/flagos-ai/FlagOS/白童心::affiliation	白童心	person	affiliation	6.963	coverage_gap	new
109	university/UC Berkeley/Shuo Yang::project_contribution	Shuo Yang	person	project_contribution	6.961	bridge	new
110	community/ModelTC/LightLLM/Shihao Bai::affiliation	Shihao Bai	person	affiliation	6.956	coverage_gap	new
111	university/UC Berkeley/UC Berkeley::labs_or_groups	UC Berkeley	school	labs_or_groups	6.95	bridge	new
112	community/taco-project/FlexKV/FlexKV::maintainers	FlexKV	project	maintainers	6.939	coverage_gap	new
113	community/flashinfer-ai/FlashInfer/Jingfan Sun::project_contribution	Jingfan Sun	person	project_contribution	6.921	bridge	new
114	community/flashinfer-ai/FlashInfer/叶子豪 Zihao Ye::project_contribution	叶子豪	person	project_contribution	6.917	bridge	new
115	community/llm-d/llm-d/Abdullah Gharaibeh::project_contribution	Abdullah Gharaibeh	person	project_contribution	6.905	bridge	new
116	community/kvcache-ai/KTransformers/Xianglin Chen::project_contribution	Xianglin Chen	person	project_contribution	6.902	bridge	new
117	community/deepseek-ai/DeepSeek-Infra/Chengqi Deng::affiliation	Chengqi Deng	person	affiliation	6.891	coverage_gap	new
118	community/deepseek-ai/DeepSeek-Infra/Liyue Zhang::affiliation	Liyue Zhang	person	affiliation	6.891	coverage_gap	new
119	community/deepseek-ai/DeepSeek-Infra/Shangyan Zhou::affiliation	Shangyan Zhou	person	affiliation	6.891	coverage_gap	new
120	community/deepseek-ai/DeepSeek-Infra/Yuxuan Liu::affiliation	Yuxuan Liu	person	affiliation	6.891	coverage_gap	new
121	company/TensorMesh/Junchen Jiang::project_contribution	Junchen Jiang	person	project_contribution	6.866	bridge	new
122	community/MetaX-MACA/vLLM-metax/vLLM-metax::maintainers	vLLM-metax	project	maintainers	6.842	coverage_gap	new
123	community/kvcache-ai/KTransformers/Chen Lin::project_contribution	Chen Lin	person	project_contribution	6.838	bridge	new
124	community/kvcache-ai/KTransformers/Chengyu Qiu::project_contribution	Chengyu Qiu	person	project_contribution	6.838	bridge	new
125	community/kvcache-ai/KTransformers/Peilin Li::project_contribution	Peilin Li	person	project_contribution	6.838	bridge	new
126	community/kvcache-ai/KTransformers/Yuening Zhu::project_contribution	Yuening Zhu	person	project_contribution	6.838	bridge	new
127	community/ggml-org/ggml/ggml::maintainers	ggml	project	maintainers	6.833	coverage_gap	new
128	company/无问芯穹/夏立雪 Lixue Xia::project_contribution	夏立雪	person	project_contribution	6.829	bridge	new
129	university/清华大学/Yingdi Shan::project_contribution	闪英迪	person	project_contribution	6.821	bridge	new
130	company/Fireworks AI/Lin Qiao::project_contribution	Lin Qiao	person	project_contribution	6.815	coverage_gap	new
131	university/北京大学/Bingyang Wu::project_contribution	Bingyang Wu	person	project_contribution	6.801	bridge	new
132	community/LMCache/LMCache/Dongjoo Seo::project_contribution	Dongjoo Seo	person	project_contribution	6.798	coverage_gap	new
133	community/vllm-project/vLLM-Ascend/Levi-JQ::project_contribution	Levi-JQ	person	project_contribution	6.798	coverage_gap	new
134	university/上海人工智能实验室/Qian Yao::project_contribution	Qian Yao	person	project_contribution	6.798	coverage_gap	new
135	community/vllm-project/vLLM-Ascend/管文宇 Guan Wenyu::project_contribution	管文宇	person	project_contribution	6.798	coverage_gap	new
136	community/verl-project/VeRL-Omni/VeRL-Omni::maintainers	VeRL-Omni	project	maintainers	6.789	coverage_gap	new
137	community/vllm-project/vLLM-Ascend/leolee::project_contribution	leolee	person	project_contribution	6.775	coverage_gap	new
138	community/vllm-project/vLLM-Ascend/weiguihua2::project_contribution	weiguihua2	person	project_contribution	6.775	coverage_gap	new
139	community/vllm-project/vLLM-Ascend/QiuChunshuo::project_contribution	QiuChunshuo	person	project_contribution	6.762	coverage_gap	new
140	company/清昴智能/姚航 Hang Yao::project_contribution	姚航	person	project_contribution	6.759	coverage_gap	new
141	company/硅基流动/唐安波::project_contribution	唐安波	person	project_contribution	6.754	coverage_gap	new
142	community/vllm-project/vLLM-Ascend/weijinqian0::project_contribution	Jinqian Wei	person	project_contribution	6.753	coverage_gap	new
143	community/kvcache-ai/KTransformers/Boxin Zhang::project_contribution	Boxin Zhang	person	project_contribution	6.752	coverage_gap	new
144	university/UC Davis/GATE Lab::projects	GATE Lab	research	projects	6.752	coverage_gap	new
145	community/kvcache-ai/KTransformers/Jianwei Dong::project_contribution	Jianwei Dong	person	project_contribution	6.752	coverage_gap	new
146	community/kvcache-ai/KTransformers/Jingqi Tang::project_contribution	Jingqi Tang	person	project_contribution	6.752	coverage_gap	new
147	community/Ascend/ops-transformer/wangchao661::project_contribution	wangchao661	person	project_contribution	6.75	coverage_gap	new
148	university/浙江大学/Zheng Li::project_contribution	Zheng Li	person	project_contribution	6.744	bridge	success
149	company/基流科技/基流科技::projects	基流科技（InfraWaves）	company	projects	6.731	bridge	new
150	community/flashinfer-ai/FlashInfer/aleozlx::project_contribution	Alex Yang	person	project_contribution	6.723	bridge	new
151	community/flashinfer-ai/FlashInfer/Brian K. Ryu::project_contribution	Brian K. Ryu	person	project_contribution	6.723	bridge	new
152	company/RadixArk/Cheng Wan::project_contribution	Cheng Wan	person	project_contribution	6.719	bridge	new
153	community/sgl-project/SGLang/张亦弛::affiliation	张亦弛	person	affiliation	6.718	coverage_gap	new
154	community/InfiniTensor/InfiniTensor::related_projects	InfiniTensor	project	related_projects	6.717	bridge	new
155	community/InternLM/LMDeploy/LMDeploy::related_projects	LMDeploy	project	related_projects	6.715	bridge	new
156	community/kvcache-ai/KTransformers/Jiahao Wang::project_contribution	Jiahao Wang	person	project_contribution	6.713	coverage_gap	new
157	community/llm-d/llm-d/Nili Guy::project_contribution	Nili Guy	person	project_contribution	6.704	bridge	new
158	community/llm-d/llm-d/Vita Bortnikov::project_contribution	Vita Bortnikov	person	project_contribution	6.704	bridge	new
159	university/香港中文大学/香港中文大学::labs_or_groups	香港中文大学	school	labs_or_groups	6.701	coverage_gap	new
160	community/llm-d/llm-d/Carlos Costa::project_contribution	Carlos Costa	person	project_contribution	6.7	bridge	new
161	community/thu-pacman/QFactory/QFactory::related_projects	QFactory	project	related_projects	6.696	bridge	new
162	company/清程极智/吉青::project_contribution	吉青	person	project_contribution	6.691	coverage_gap	new
163	university/Oak Ridge National Laboratory/Oak Ridge National Laboratory::projects	Oak Ridge National Laboratory	research	projects	6.69	coverage_gap	new
164	company/RadixArk/Baizhou Zhang::project_contribution	Baizhou Zhang	person	project_contribution	6.687	bridge	new
165	community/siliconflow/OneDiff/marigoold::affiliation	marigoold	person	affiliation	6.661	coverage_gap	new
166	company/月之暗面/Seer::related_projects	Seer	project	related_projects	6.647	bridge	new
167	company/月之暗面/checkpoint-engine/weixiao-huang::affiliation	weixiao-huang	person	affiliation	6.636	coverage_gap	new
168	community/Tencent/HPC-Ops/HPC-Ops::related_projects	HPC-Ops	project	related_projects	6.606	coverage_gap	new
169	university/University of Chicago/Systems Group::projects	UChicago Systems Group	research	projects	6.605	bridge	new
170	community/sail-sg/EnvPool/EnvPool::originating_org	EnvPool	project	originating_org	6.602	coverage_gap	new
171	community/LMCache/LMCache/Rui Zhang::affiliation	Rui Zhang	person	affiliation	6.602	coverage_gap	new
172	community/Project-HAMi/HAMi/chaunceyjiang::affiliation	chaunceyjiang	person	affiliation	6.591	coverage_gap	new
173	company/清程极智/靳江明 Jiangming Jin::project_contribution	靳江明	person	project_contribution	6.591	coverage_gap	new
174	university/北京邮电大学/网络与交换技术全国重点实验室::projects	网络与交换技术全国重点实验室	research	projects	6.584	coverage_gap	new
175	company/派欧云/姚欣 Bill Yao::project_contribution	姚欣	person	project_contribution	6.579	coverage_gap	new
176	community/flagos-ai/FlagTree/Galaxy1458::affiliation	Galaxy1458	person	affiliation	6.568	coverage_gap	new
177	community/flagos-ai/FlagTree/i3wanna2::affiliation	i3wanna2	person	affiliation	6.568	coverage_gap	new
178	community/flagos-ai/FlagTree/menchunlei::affiliation	menchunlei	person	affiliation	6.568	coverage_gap	new
179	community/flagos-ai/FlagTree/sgjzfzzf::affiliation	sgjzfzzf	person	affiliation	6.568	coverage_gap	new
180	community/flagos-ai/FlagTree/sunnycase::affiliation	sunnycase	person	affiliation	6.568	coverage_gap	new
181	community/flagos-ai/FlagTree/zhzhcookie::affiliation	zhzhcookie	person	affiliation	6.568	coverage_gap	new
182	community/triton-inference-server/Triton-Inference-Server/Sai Kiran Polisetty::project_contribution	Sai Kiran Polisetty	person	project_contribution	6.566	coverage_gap	new
183	university/上海人工智能实验室/上海人工智能实验室::projects	上海人工智能实验室	research	projects	6.559	bridge	new
184	community/kvcache-ai/KTransformers/Hongtao Chen::project_contribution	Hongtao Chen	person	project_contribution	6.549	coverage_gap	new
185	community/kvcache-ai/KTransformers/Qingliang Ou::project_contribution	Qingliang Ou	person	project_contribution	6.549	coverage_gap	new
186	community/lightseekorg/TokenSpeed/TokenSpeed::maintainers	TokenSpeed	project	maintainers	6.546	coverage_gap	new
187	university/清华大学/FastDecode::maintainers	FastDecode	project	maintainers	6.545	coverage_gap	new
188	university/香港科技大学/香港科技大学::labs_or_groups	香港科技大学	school	labs_or_groups	6.545	bridge	new
189	community/LMCache/LMCache/Tony Lin::project_contribution	Tony Lin	person	project_contribution	6.544	coverage_gap	new
190	university/上海交通大学/Rong Chen::project_contribution	Rong Chen	person	project_contribution	6.54	coverage_gap	success
191	community/flashinfer-ai/FlashInfer/Wuwei Lin::affiliation	Wuwei Lin	person	affiliation	6.531	coverage_gap	new
192	community/deepseek-ai/DeepSeek-Infra/Yi Qian::affiliation	Yi Qian	person	affiliation	6.526	coverage_gap	new
193	community/kvcache-ai/KTransformers/Jiaqi Liao::project_contribution	Jiaqi Liao	person	project_contribution	6.51	coverage_gap	new
194	university/University of Texas at Austin/University of Texas at Austin::labs_or_groups	University of Texas at Austin	school	labs_or_groups	6.504	coverage_gap	new
195	university/上海人工智能实验室/Li Zhang::project_contribution	Li Zhang	person	project_contribution	6.494	coverage_gap	new
196	university/启元实验室/启元实验室::projects	启元实验室	research	projects	6.492	bridge	new
197	community/deepseek-ai/DeepSeek-Infra/Anyi Xu::affiliation	Anyi Xu	person	affiliation	6.486	coverage_gap	new
198	community/thu-pacman/BaGuaLu/BaGuaLu::related_projects	BaGuaLu	project	related_projects	6.467	bridge	new
199	university/清华大学/GLM-130B::related_projects	GLM-130B	project	related_projects	6.466	bridge	new
200	company/腾讯/Stary::affiliation	Stary	person	affiliation	6.459	bridge	new
201	company/CoreWeave/CoreWeave::key_people	CoreWeave	company	key_people	6.453	coverage_gap	new
202	community/flagos-ai/FlagOS/陈飞宇::affiliation	陈飞宇	person	affiliation	6.444	coverage_gap	new
203	community/kvcache-ai/KVCache.AI/KVCache.AI::core_people	KVCache.AI	community	core_people	6.441	coverage_gap	new
204	community/ModelTC/LightLLM/Su Fubao::project_contribution	Su Fubao	person	project_contribution	6.431	coverage_gap	new
205	university/Stanford University/Stanford University::labs_or_groups	Stanford University	school	labs_or_groups	6.423	bridge	new
206	community/deepseek-ai/DualPath/DualPath::maintainers	DualPath	project	maintainers	6.417	coverage_gap	new
207	university/上海交通大学/KunServe::related_projects	KunServe	project	related_projects	6.411	coverage_gap	new
208	company/硅基流动/柳俊丞 Juncheng Liu::affiliation	柳俊丞	person	affiliation	6.409	bridge	new
209	community/vllm-project/AIBrix/CYJiang::affiliation	CYJiang	person	affiliation	6.408	coverage_gap	new
210	company/Red Hat/Red Hat::projects	Red Hat	company	projects	6.405	bridge	new
211	community/flagos-ai/FlagOS/曹州::affiliation	曹州	person	affiliation	6.403	coverage_gap	new
212	community/kvcache-ai/Mooncake/Xun Sun::affiliation	Xun Sun	person	affiliation	6.401	bridge	new
213	community/thu-pacman/Lethe/Lethe::maintainers	Lethe	project	maintainers	6.399	coverage_gap	new
214	community/openEuler/openYuanRong/罗站城 Zhancheng Luo::project_contribution	罗站城	person	project_contribution	6.394	coverage_gap	new
215	community/ggml-org/llama.cpp/Georgi Gerganov::affiliation	Georgi Gerganov	person	affiliation	6.383	coverage_gap	new
216	community/Ascend/MemCache/ader47::affiliation	ader47	person	affiliation	6.383	coverage_gap	new
217	community/Ascend/MemCache/吕有辉::affiliation	吕有辉	person	affiliation	6.383	coverage_gap	new
218	university/香港中文大学/Peiqi Yin::affiliation	尹沛骐	person	affiliation	6.383	coverage_gap	new
219	university/上海交通大学/Xingda Wei::project_contribution	Xingda Wei	person	project_contribution	6.376	coverage_gap	new
220	community/vllm-project/vLLM-Ascend/chengruiqi::affiliation	chengruiqi	person	affiliation	6.372	coverage_gap	new
221	community/kvcache-ai/Mooncake/Zhanhao Cao::affiliation	Zhanhao Cao	person	affiliation	6.366	bridge	new
222	community/Ascend/MemCache/Zixi Qu::affiliation	Zixi Qu	person	affiliation	6.363	bridge	new
223	community/kvcache-ai/Mooncake/Xinpeng Zhao::affiliation	Xinpeng Zhao	person	affiliation	6.362	bridge	new
224	community/Ascend/ops-transformer/Konstantin Berestizshevsky::affiliation	Konstantin Berestizshevsky	person	affiliation	6.358	coverage_gap	success
225	company/无问芯穹/戴国浩 Guohao Dai::project_contribution	戴国浩	person	project_contribution	6.358	bridge	new
226	community/thu-pacman/Chitu/Chitu::maintainers	Chitu	project	maintainers	6.357	coverage_gap	new
227	community/flashinfer-ai/FlashInfer/Yang Xu::affiliation	Yang Xu	person	affiliation	6.338	bridge	new
228	community/ray-project/Ray-Serve/Ray-Serve::maintainers	Ray Serve	project	maintainers	6.336	coverage_gap	new
229	company/IBM/Martin Hickey::affiliation	Martin Hickey	person	affiliation	6.335	coverage_gap	new
230	company/无问芯穹/汪玉 Yu Wang::project_contribution	汪玉	person	project_contribution	6.322	bridge	new
231	community/deepseek-ai/DeepSeek-Infra/周可行 Kexing Zhou::affiliation	周可行	person	affiliation	6.307	bridge	new
232	university/启元实验室/李映辉 Yinghui Li::project_contribution	李映辉	person	project_contribution	6.303	coverage_gap	new
233	university/启元实验室/黄嘉成 Jiacheng Huang::project_contribution	黄嘉成	person	project_contribution	6.303	coverage_gap	new
234	company/GPUStack/GPUStack::projects	GPUStack	company	projects	6.296	coverage_gap	new
235	community/ollama/Ollama/Ollama::maintainers	Ollama	project	maintainers	6.287	coverage_gap	new
236	company/清昴智能/朱文武 Wenwu Zhu::project_contribution	朱文武	person	project_contribution	6.284	coverage_gap	new
237	company/无问芯穹/李伯勋 Boxun Li::project_contribution	李伯勋	person	project_contribution	6.279	bridge	new
238	company/月之暗面/Kimi-K3::maintainers	Kimi-K3	project	maintainers	6.274	coverage_gap	new
239	company/字节跳动/方佳瑞 Jiarui Fang::project_contribution	方佳瑞	person	project_contribution	6.261	bridge	new
240	company/趋境科技/卢佳豪 Jiahao Lu::project_contribution	卢佳豪	person	project_contribution	6.257	bridge	new
241	company/Together AI/Ladder Residual::maintainers	Ladder Residual	project	maintainers	6.233	coverage_gap	new
242	university/浙江大学/FloE::related_projects	FloE	project	related_projects	6.229	coverage_gap	new
243	community/kvcache-ai/Mooncake/Shangming Cai::affiliation	Shangming Cai	person	affiliation	6.225	bridge	new
244	company/Fireworks AI/Fireworks AI::projects	Fireworks AI	company	projects	6.222	coverage_gap	new
245	community/Ascend/MemCache/彭海清 Haiqing Peng::affiliation	彭海清	person	affiliation	6.209	bridge	new
246	community/flagos-ai/FlagAttention/FlagAttention::maintainers	FlagAttention	project	maintainers	6.206	coverage_gap	new
247	community/openEuler/openYuanRong/openYuanRong::maintainers	openYuanRong	project	maintainers	6.205	coverage_gap	new
248	university/北京大学/Xin Jin::affiliation	Xin Jin	person	affiliation	6.184	bridge	new
249	company/TensorMesh/程翊华 Yihua Cheng::project_contribution	程翊华	person	project_contribution	6.177	bridge	new
250	company/沐曦/Xin Li::affiliation	Xin Li	person	affiliation	6.175	coverage_gap	new
251	community/deepseek-ai/DeepSeek-Infra/FlashMLA::maintainers	FlashMLA	project	maintainers	6.174	coverage_gap	new
