rank	action_id	source	family	relation	priority	trigger	history
47	company/月之暗面/Kimi-K3::verify_evidence	Kimi-K3	project	verify_evidence	4.128	weak_evidence	new
48	community/deepseek-ai/DeepSeek-Infra/FlashMLA::verify_evidence	FlashMLA	project	verify_evidence	4.076	weak_evidence	new
49	community/vllm-project/AIBrix/AIBrix::verify_evidence	AIBrix	project	verify_evidence	4.052	weak_evidence	new
50	community/deepseek-ai/DeepSeek-Infra/DeepJIT::verify_evidence	DeepJIT	project	verify_evidence	4.007	weak_evidence	new
51	community/triton-inference-server/Triton-Inference-Server/Triton-Inference-Server::verify_evidence	Triton Inference Server	project	verify_evidence	3.896	weak_evidence	new
52	company/月之暗面/Kimi-K2::verify_evidence	Kimi-K2	project	verify_evidence	3.842	weak_evidence	new
53	community/deepseek-ai/DeepSeek-Infra/3FS::verify_evidence	3FS	project	verify_evidence	3.814	weak_evidence	new
54	community/deepseek-ai/DeepSeek-Infra/周可行 Kexing Zhou::verify_evidence	周可行	person	verify_evidence	3.747	weak_evidence	new
55	company/月之暗面/MoonEP::verify_evidence	MoonEP	project	verify_evidence	3.732	weak_evidence	new
56	community/kvcache-ai/KTransformers/Boxin Zhang::verify_evidence	Boxin Zhang	person	verify_evidence	3.728	weak_evidence	new
57	community/kvcache-ai/KTransformers/Jianwei Dong::verify_evidence	Jianwei Dong	person	verify_evidence	3.728	weak_evidence	new
58	community/kvcache-ai/KTransformers/Jingqi Tang::verify_evidence	Jingqi Tang	person	verify_evidence	3.728	weak_evidence	new
59	community/ai-dynamo/Dynamo/Ryan McCormick::verify_evidence	Ryan McCormick	person	verify_evidence	3.702	weak_evidence	new
60	community/kvcache-ai/KTransformers/Jiahao Wang::verify_evidence	Jiahao Wang	person	verify_evidence	3.693	weak_evidence	new
61	community/ray-project/Ray-Serve/Ray-Serve::verify_evidence	Ray Serve	project	verify_evidence	3.665	weak_evidence	new
62	company/清程极智/吉青::verify_evidence	吉青	person	verify_evidence	3.665	weak_evidence	new
63	community/deepseek-ai/DeepSeek-Infra/赵成钢 Chenggang Zhao::verify_evidence	赵成钢	person	verify_evidence	3.659	weak_evidence	new
64	community/kvcache-ai/KTransformers/Hongtao Chen::verify_evidence	Hongtao Chen	person	verify_evidence	3.578	weak_evidence	new
65	community/kvcache-ai/KTransformers/Qingliang Ou::verify_evidence	Qingliang Ou	person	verify_evidence	3.578	weak_evidence	new
66	community/ai-dynamo/Dynamo/Ishan Dhanani::verify_evidence	Ishan Dhanani	person	verify_evidence	3.564	weak_evidence	new
67	community/ModelTC/LightLLM/Niu Shengxiao::verify_evidence	Niu Shengxiao	person	verify_evidence	3.564	weak_evidence	new
68	community/ModelTC/LightLLM/Zaijun Wang::verify_evidence	Zaijun Wang	person	verify_evidence	3.564	weak_evidence	new
69	community/kvcache-ai/KTransformers/Jiaqi Liao::verify_evidence	Jiaqi Liao	person	verify_evidence	3.543	weak_evidence	new
70	community/triton-inference-server/Triton-Inference-Server/Sai Kiran Polisetty::verify_evidence	Sai Kiran Polisetty	person	verify_evidence	3.54	weak_evidence	new
71	community/NVIDIA/TensorRT-LLM/Xin He::verify_evidence	Xin He	person	verify_evidence	3.514	weak_evidence	new
72	university/上海交通大学/Xingda Wei::verify_evidence	Xingda Wei	person	verify_evidence	3.484	weak_evidence	new
73	company/阿里巴巴/Qwen3::verify_evidence	Qwen3	project	verify_evidence	3.474	weak_evidence	new
74	community/deepseek-ai/DeepSeek-Infra/DeepEP::verify_evidence	DeepEP	project	verify_evidence	3.459	weak_evidence	new
75	community/Ascend/ops-transformer/tangkaidi::verify_evidence	tangkaidi	person	verify_evidence	3.455	weak_evidence	new
76	community/ModelTC/LightLLM/Su Fubao::verify_evidence	Su Fubao	person	verify_evidence	3.44	weak_evidence	new
77	community/Deep-Spark/lmcache-iluvatar/lmcache-iluvatar::verify_evidence	lmcache-iluvatar	project	verify_evidence	3.439	weak_evidence	new
78	company/Baseten/Baseten::verify_evidence	Baseten	company	verify_evidence	3.409	weak_evidence	new
79	community/MetaX-MACA/mcoplib/mcoplib::verify_evidence	mcoplib	project	verify_evidence	3.393	weak_evidence	new
80	community/ai-dynamo/NIXL/Adit Ranadive::verify_evidence	Adit Ranadive	person	verify_evidence	3.298	weak_evidence	new
81	company/智谱/GLM-4.5::verify_evidence	GLM-4.5	project	verify_evidence	3.245	weak_evidence	new
82	community/flashinfer-ai/FlashInfer/赖睿航 Ruihang Lai::verify_evidence	赖睿航	person	verify_evidence	3.232	weak_evidence	new
83	community/MetaX-MACA/MXDeepEP/MXDeepEP::verify_evidence	MXDeepEP	project	verify_evidence	3.214	weak_evidence	new
84	university/Stanford University/Stanford University::verify_evidence	Stanford University	school	verify_evidence	3.21	weak_evidence	new
85	community/NVIDIA/TensorRT-LLM/Yi Zhang::verify_evidence	Yi Zhang	person	verify_evidence	3.207	weak_evidence	new
86	community/deepseek-ai/DeepSeek-Infra/Kuai Yu::verify_evidence	Kuai Yu	person	verify_evidence	3.205	weak_evidence	new
87	community/deepseek-ai/DeepSeek-Infra/Liang Zhao::verify_evidence	Liang Zhao	person	verify_evidence	3.205	weak_evidence	new
88	community/deepseek-ai/DeepSeek-Infra/Zhean Xu::verify_evidence	Zhean Xu	person	verify_evidence	3.205	weak_evidence	new
89	company/摩尔线程/Xiaodong Ye::verify_evidence	Xiaodong Ye	person	verify_evidence	3.178	weak_evidence	new
90	community/ai-dynamo/NIXL/Mikhail Brinskiy::verify_evidence	Mikhail Brinskiy	person	verify_evidence	3.17	weak_evidence	new
91	community/triton-inference-server/Triton-Inference-Server/Yingge He::verify_evidence	Yingge He	person	verify_evidence	3.143	weak_evidence	new
92	community/LMCache/LMCache/Hunter Zhang::verify_evidence	Hunter Zhang	person	verify_evidence	3.14	weak_evidence	new
93	community/kvcache-ai/KTransformers/Xingxing Hao::verify_evidence	Xingxing Hao	person	verify_evidence	3.14	weak_evidence	new
94	community/NVIDIA/TensorRT-LLM/Xiao Wang::verify_evidence	Xiao Wang	person	verify_evidence	3.118	weak_evidence	new
95	community/triton-inference-server/Triton-Inference-Server/Akhil Saraswathi::verify_evidence	Akhil Saraswathi	person	verify_evidence	3.115	weak_evidence	new
96	community/NVIDIA/TensorRT-LLM/Faraz Khoubsirat::verify_evidence	Faraz Khoubsirat	person	verify_evidence	3.115	weak_evidence	new
97	community/sgl-project/SGLang/张晓雨::verify_evidence	张晓雨	person	verify_evidence	3.115	weak_evidence	new
98	university/上海交通大学/Shengzhong Liu::verify_evidence	Shengzhong Liu	person	verify_evidence	3.068	weak_evidence	new
99	company/阿里巴巴/Qwen-Coder::verify_evidence	Qwen-Coder	project	verify_evidence	3.057	weak_evidence	new
100	community/llm-d/llm-d/JJ Asghar::verify_evidence	JJ Asghar	person	verify_evidence	3.04	weak_evidence	new
101	community/ai-dynamo/Dynamo/Julien Mancuso::verify_evidence	Julien Mancuso	person	verify_evidence	3.04	weak_evidence	new
102	university/University of Texas at Austin/University of Texas at Austin::verify_evidence	University of Texas at Austin	school	verify_evidence	3.029	weak_evidence	new
103	community/flashinfer-ai/FlashInfer/陈乐群 Lequn Chen::verify_evidence	陈乐群	person	verify_evidence	2.955	weak_evidence	new
104	university/上海交通大学/Haibo Chen::verify_evidence	Haibo Chen	person	verify_evidence	2.934	weak_evidence	new
105	community/vllm-project/AIBrix/Jianliang Qi::verify_evidence	Jianliang Qi	person	verify_evidence	2.926	weak_evidence	new
106	community/kvcache-ai/Mooncake/Xinran Xu::verify_evidence	Xinran Xu	person	verify_evidence	2.913	weak_evidence	new
107	community/llm-d/llm-d/Marcio A L Silva::verify_evidence	Marcio A L Silva	person	verify_evidence	2.901	weak_evidence	new
108	community/triton-inference-server/Triton-Inference-Server/Faradawn Yang::verify_evidence	Faradawn Yang	person	verify_evidence	2.888	weak_evidence	new
109	community/ModelTC/LightLLM/Hailong Yang::verify_evidence	Hailong Yang	person	verify_evidence	2.863	weak_evidence	new
110	community/ModelTC/LightLLM/Ruihao Gong::verify_evidence	Ruihao Gong	person	verify_evidence	2.863	weak_evidence	new
111	community/ModelTC/LightLLM/Siyu Wu::verify_evidence	Siyu Wu	person	verify_evidence	2.863	weak_evidence	new
112	community/tile-ai/TileScale/TileScale::verify_evidence	TileScale	project	verify_evidence	2.853	weak_evidence	new
113	community/ModelTC/LightLLM/Shihao Bai::verify_evidence	Shihao Bai	person	verify_evidence	2.851	weak_evidence	new
114	community/deepseek-ai/DeepSeek-Infra/LyricZhao::verify_evidence	LyricZhao	person	verify_evidence	2.83	weak_evidence	new
115	community/deepseek-ai/DeepSeek-Infra/Chenhao Xu::verify_evidence	Chenhao Xu	person	verify_evidence	2.802	weak_evidence	new
116	company/OpenAI/GPT-4o::verify_evidence	GPT-4o	project	verify_evidence	2.794	weak_evidence	new
117	company/智谱/GLM-4-Voice::verify_evidence	GLM-4-Voice	project	verify_evidence	2.776	weak_evidence	new
118	community/ai-dynamo/Dynamo/Stefan Schimanski::verify_evidence	Stefan Schimanski	person	verify_evidence	2.728	weak_evidence	new
119	community/deepseek-ai/DeepSeek-Infra/Chengqi Deng::verify_evidence	Chengqi Deng	person	verify_evidence	2.727	weak_evidence	new
120	community/deepseek-ai/DeepSeek-Infra/Liyue Zhang::verify_evidence	Liyue Zhang	person	verify_evidence	2.727	weak_evidence	new
121	community/deepseek-ai/DeepSeek-Infra/Shangyan Zhou::verify_evidence	Shangyan Zhou	person	verify_evidence	2.727	weak_evidence	new
122	community/deepseek-ai/DeepSeek-Infra/Yuxuan Liu::verify_evidence	Yuxuan Liu	person	verify_evidence	2.727	weak_evidence	new
123	community/ai-dynamo/Dynamo/Alec Flowers::verify_evidence	Alec Flowers	person	verify_evidence	2.714	weak_evidence	new
124	community/ai-dynamo/Dynamo/Matej Kosec::verify_evidence	Matej Kosec	person	verify_evidence	2.714	weak_evidence	new
125	community/NVIDIA/TensorRT-LLM/Chang Liu::verify_evidence	Chang Liu	person	verify_evidence	2.665	weak_evidence	new
126	community/ai-dynamo/NIXL/Matvei Pashkovskii::verify_evidence	Matvei Pashkovskii	person	verify_evidence	2.665	weak_evidence	new
127	community/ModelTC/LightLLM/Sang Chengmeng::verify_evidence	Sang Chengmeng	person	verify_evidence	2.665	weak_evidence	new
128	community/vllm-project/AIBrix/Xin Li::verify_evidence	Xin Li	person	verify_evidence	2.665	weak_evidence	new
129	community/NVIDIA/TensorRT-LLM/Yibin Li::verify_evidence	Yibin Li	person	verify_evidence	2.665	weak_evidence	new
130	community/NVIDIA/TensorRT-LLM/Zhaoyang Wang::verify_evidence	Zhaoyang Wang	person	verify_evidence	2.665	weak_evidence	new
131	community/sgl-project/SGLang/张亦弛::verify_evidence	张亦弛	person	verify_evidence	2.665	weak_evidence	new
132	university/Oak Ridge National Laboratory/Oak Ridge National Laboratory::verify_evidence	Oak Ridge National Laboratory	research	verify_evidence	2.661	weak_evidence	new
133	community/NVIDIA/TensorRT-LLM/Brian Nguyen::verify_evidence	Brian Nguyen	person	verify_evidence	2.643	weak_evidence	new
134	community/NVIDIA/TensorRT-LLM/Yao Yao::verify_evidence	Yao Yao	person	verify_evidence	2.64	weak_evidence	new
135	company/OpenAI/GPT-4::verify_evidence	GPT-4	project	verify_evidence	2.63	weak_evidence	new
136	community/sail-sg/EnvPool/EnvPool::verify_evidence	EnvPool	project	verify_evidence	2.599	weak_evidence	new
137	community/vllm-project/AIBrix/Chenyu Jiang::verify_evidence	Chenyu Jiang	person	verify_evidence	2.59	weak_evidence	new
138	university/上海交通大学/Rongxin Cheng::verify_evidence	Rongxin Cheng	person	verify_evidence	2.559	weak_evidence	new
139	community/ai-dynamo/NIXL/Rongbing Zhou::verify_evidence	Rongbing Zhou	person	verify_evidence	2.54	weak_evidence	new
140	community/ai-dynamo/NIXL/Tomer Davidor::verify_evidence	Tomer Davidor	person	verify_evidence	2.54	weak_evidence	new
141	community/flashinfer-ai/FlashInfer/Wuwei Lin::verify_evidence	Wuwei Lin	person	verify_evidence	2.505	weak_evidence	new
142	company/OpenAI/o1::verify_evidence	o1	project	verify_evidence	2.482	weak_evidence	new
143	community/vllm-project/AIBrix/CYJiang::verify_evidence	CYJiang	person	verify_evidence	2.469	weak_evidence	new
144	community/deepseek-ai/DeepSeek-Infra/Anyi Xu::verify_evidence	Anyi Xu	person	verify_evidence	2.427	weak_evidence	new
145	university/Harvard University/Harvard University::verify_evidence	Harvard University	school	verify_evidence	2.357	weak_evidence	new
146	university/Princeton University/Princeton University::verify_evidence	Princeton University	school	verify_evidence	2.357	weak_evidence	new
147	community/flashinfer-ai/FlashInfer/陈天奇 Tianqi Chen::verify_evidence	陈天奇	person	verify_evidence	2.295	weak_evidence	new
148	university/UCLA/UCLA::verify_evidence	UCLA	school	verify_evidence	2.268	weak_evidence	new
149	company/OpenAI/GPT-4.5::verify_evidence	GPT-4.5	project	verify_evidence	2.227	weak_evidence	new
150	university/四川大学/四川大学::verify_evidence	四川大学	school	verify_evidence	2.204	weak_evidence	new
151	community/NVIDIA/TensorRT-LLM/Anurag Mukkara::verify_evidence	Anurag Mukkara	person	verify_evidence	2.165	weak_evidence	new
152	community/llm-d/llm-d/David Simmons::verify_evidence	David Simmons	person	verify_evidence	2.165	weak_evidence	new
153	community/ai-dynamo/NIXL/Efraim Eygin::verify_evidence	Efraim Eygin	person	verify_evidence	2.165	weak_evidence	new
154	community/ai-dynamo/NIXL/Ilia Yastrebov::verify_evidence	Ilia Yastrebov	person	verify_evidence	2.165	weak_evidence	new
155	community/ai-dynamo/NIXL/James Thomas::verify_evidence	James Thomas	person	verify_evidence	2.165	weak_evidence	new
156	community/vllm-project/AIBrix/Jingyuan Zhang::verify_evidence	Jingyuan Zhang	person	verify_evidence	2.165	weak_evidence	new
157	community/llm-d/llm-d/Pete Cheslock::verify_evidence	Pete Cheslock	person	verify_evidence	2.165	weak_evidence	new
158	community/ai-dynamo/NIXL/Ryan Hankins::verify_evidence	Ryan Hankins	person	verify_evidence	2.165	weak_evidence	new
159	university/Columbia University/Columbia University::verify_evidence	Columbia University	school	verify_evidence	2.13	weak_evidence	new
160	university/Cornell Tech/Cornell Tech::verify_evidence	Cornell Tech	school	verify_evidence	2.13	weak_evidence	new
161	university/Cornell University/Cornell University::verify_evidence	Cornell University	school	verify_evidence	2.13	weak_evidence	new
162	university/University of Tennessee, Knoxville/University of Tennessee, Knoxville::verify_evidence	University of Tennessee, Knoxville	school	verify_evidence	2.13	weak_evidence	new
163	university/University of Toronto/University of Toronto::verify_evidence	University of Toronto	school	verify_evidence	2.13	weak_evidence	new
164	university/University of Warwick/University of Warwick::verify_evidence	University of Warwick	school	verify_evidence	2.13	weak_evidence	new
165	university/上海科技大学/上海科技大学::verify_evidence	上海科技大学	school	verify_evidence	2.13	weak_evidence	new
166	university/中山大学/中山大学::verify_evidence	中山大学	school	verify_evidence	2.13	weak_evidence	new
167	university/北京航空航天大学/北京航空航天大学::verify_evidence	北京航空航天大学	school	verify_evidence	2.13	weak_evidence	new
168	university/复旦大学/复旦大学::verify_evidence	复旦大学	school	verify_evidence	2.13	weak_evidence	new
169	university/武汉大学/武汉大学::verify_evidence	武汉大学	school	verify_evidence	2.13	weak_evidence	new
170	university/西交利物浦大学/西交利物浦大学::verify_evidence	西交利物浦大学	school	verify_evidence	2.13	weak_evidence	new
171	company/阿里巴巴/林俊旸 Junyang Lin::verify_evidence	林俊旸	person	verify_evidence	2.093	weak_evidence	new
172	company/阿里巴巴/惠彬原 Binyuan Hui::verify_evidence	惠彬原	person	verify_evidence	2.083	weak_evidence	new
173	company/阿里巴巴/郁博文 Bowen Yu::verify_evidence	郁博文	person	verify_evidence	2.083	weak_evidence	new
174	community/deepseek-ai/DeepSeek-Infra/guyan364::verify_evidence	guyan364	person	verify_evidence	2.005	weak_evidence	new
175	community/deepseek-ai/DeepSeek-Infra/kurisu6912::verify_evidence	kurisu6912	person	verify_evidence	1.977	weak_evidence	new
176	community/vllm-project/AIBrix/Guangjian::verify_evidence	Guangjian	person	verify_evidence	1.938	weak_evidence	new
177	community/vllm-project/AIBrix/Jiang Xiaobin::verify_evidence	Jiang Xiaobin	person	verify_evidence	1.938	weak_evidence	new
